PartNo/Pin,1,2,3,4,5
K1,"SO1.4
K1.2","SO1.4
K1.1",VCC,VCC,"SIN1.14
R1.1"
K2,"K2.2
SO1.5","SO1.5
K2.1",VCC,VCC,"SIN1.13
R2.1"
K3,"K3.2
SO1.6","SO1.6
K3.1",VCC,VCC,"SIN1.12
R3.1"
K4,SO1.7,SO1.14,VCC,VCC,"SIN1.11
R4.1"
K5,SO1.15,"SO1.16
K6.2",VCC,VCC,"SIN2.14
R6.1"
K6,SO1.17,"K5.2
SO1.16",VCC,VCC,"SIN2.13
R7.1"
K7,SO2.5,"K8.2
SO2.4",VCC,VCC,"SIN2.4
R12.1"
K8,SO2.6,"SO2.4
K7.2",VCC,VCC,"SIN2.3
R13.1"
K9,SO2.7,"K10.2
SO2.14",VCC,VCC,"SIN3.14
R14.1"
K10,SO2.15,"K9.2
SO2.14",VCC,VCC,"SIN3.13
R15.1"
K11,SO2.16,SO2.17,VCC,VCC,"SIN3.12
R16.1"
K12,SO3.4,"SO3.6
K13.2",VCC,VCC,"SIN4.3
R29.1"
K13,SO3.5,"K12.2
SO3.6",VCC,VCC,"SIN5.14
R30.1"
K14,SO3.7,"K16.2
K17.2
K15.2
SO3.14",VCC,VCC,"SIN5.4
R32.1"
K15,SO3.15,"K14.2
K16.2
K17.2
SO3.14",VCC,VCC,"SIN5.3
R33.1"
K16,SO3.16,"K14.2
K17.2
K15.2
SO3.14",VCC,VCC,"SIN6.14
R34.1"
K17,SO3.17,"K14.2
K16.2
K15.2
SO3.14",VCC,VCC,"SIN6.13
R35.1"
